Name	Rating	Year	Fed	Rank
Uwe Boensch	2490	1993	GER	345	
Oleg I Dementiev	2490	1993	RUS	346	
Vladimir Dimitrov	2490	1993	BUL	347	
Goran Dizdar	2490	1993	CRO	348	
Viacheslav Dydyshko	2490	1993	BLR	349	
Peter Enders	2490	1993	GER	350	
Alexei Fedorov	2490	1993	BLR	351	
Benjamin Finegold	2490	1993	USA	352	
Aivars Gipslis	2490	1993	LAT	353	
Csaba Horvath	2490	1993	HUN	354	
Oleg Korneev	2490	1993	RUS	355	
Yona Kosashvili	2490	1993	ISR	356	
Aleksandar Matanovic	2490	1993	YUG	357	
Colin..A McNab	2490	1993	SCO	358	
Karsten Mueller	2490	1993	GER	359	
Mladen Muse	2490	1993	GER	360	
Arshak..B Petrosian	2490	1993	ARM	361	
Sergei Shipov	2490	1993	RUS	362	
Maxim Sorokin	2490	1993	ARG	363	
Peter Svidler	2490	1993	RUS	364	
Raj Tischbierek	2490	1993	GER	365	
I Tseitlin	2490	1993	RUS	366	
Paul Van.Der.Sterren	2490	1993	NED	367	
Sergey Zagrebelny	2490	1993	UZB	368	
Rogelio.Jr Antonio	2485	1993	PHI	369	
Giorgi Bagaturov	2485	1993	GEO	370	
Miso Cebalo	2485	1993	CRO	371	
Roberto Cifuentes.Parada	2485	1993	NED	372	
Rune Djurhuus	2485	1993	NOR	373	
Stefan Djuric	2485	1993	YUG	374	
Einar Gausel	2485	1993	NOR	375	
Jacek Gdanski	2485	1993	POL	376	
Michele Godena	2485	1993	ITA	377	
Vitali Golod	2485	1993	ISR	378	
Sarhan Guliev	2485	1993	AZE	379	
Petr Haba	2485	1993	CZE	380	
Vyacheslav Ikonnikov	2485	1993	RUS	381	
Vlatko Kovacevic	2485	1993	CRO	382	
Karen Movsziszian	2485	1993	ARM	383	
Zivoslav Nikolic	2485	1993	YUG	384	
Fridrik Olafsson	2485	1993	ISL	385	
Stuart Rachels	2485	1993	USA	386	
Mladen Palac	2485	1993	CRO	387	
Pal Petran	2485	1993	HUN	388	
Helmut.Dr Pfleger	2485	1993	GER	389	
Nikolai Pushkov	2485	1993	RUS	390	
Gennadij Sagalchik	2485	1993	USA	391	
Raul Sanguinetti	2485	1993	ARG	392	
Mikhail Shereshevski	2485	1993	BLR	393	
Mikhail-S Tseitlin	2485	1993	RUS	394	
Peter.K Wells	2485	1993	ENG	395	
Valerij Zhuravliov	2485	1993	LAT	396	
Dragan Barlov	2480	1993	YUG	397	
Valery..A Chekhov	2480	1993	RUS	398	
Alexandru Crisan	2480	1993	ROM	399	
Dimitar.I Donchev	2480	1993	BUL	400	
Aljosa Grosar	2480	1993	SLO	401	
Eduard Gufeld	2480	1993	GEO	402	
Ivan Hausner	2480	1993	CZE	403	
Ron..W Henley	2480	1993	USA	404	
Mirko Jukic	2480	1993	CRO	405	
Sergey Kalinitschew	2480	1993	GER	406	
Armin Kapetanovic	2480	1993	BIH	407	
Julio P Kaplan	2480	1993	USA	408	
Peter Lukacs	2480	1993	HUN	409	
Leonid Milov	2480	1993	UKR	410	
Pablo Ricardi	2480	1993	ARG	411	
Amador Rodriguez	2480	1993	CUB	412	
Dorian Rogozenko	2480	1993	MDA	413	
Bruno Parma	2480	1993	SLO	414	
Devaki..V Prasad	2480	1993	IND	415	
Evgeniy Solozhenkin	2480	1993	RUS	416	
Serik Temirbaev	2480	1993	KAZ	417	
Henrik Teske	2480	1993	GER	418	
Karl Thorsteins	2480	1993	ISL	419	
Bosko Abramovic	2475	1993	YUG	420	
Alex Avshalumov	2475	1993	RUS	421	
Joris Brenninkmeijer	2475	1993	NED	422	
Milan Drasko	2475	1993	YUG	423	
Mark Dvoretzky	2475	1993	RUS	424	
Jose.Luis Fernandez.Garcia	2475	1993	ESP	425	
David Garcia.Ilundain	2475	1993	ESP	426	
Carlos Garcia.Palermo	2475	1993	ITA	427	
Florin Gheorghiu	2475	1993	ROM	428	
Oswald Gschnitzer	2475	1993	GER	429	
Edhi Handoko	2475	1993	INA	430	
Constantin Ionescu	2475	1993	ROM	431	
Alexander Kochyev	2475	1993	RUS	432	
Davor Komljenovic	2475	1993	CRO	433	
Yuri Kruppa	2475	1993	UKR	434	
Vincent McCambridge	2475	1993	USA	435	
Eugene..B Meyer	2475	1993	USA	436	
Gilles Miralles	2475	1993	FRA	437	
Marat Muhutdinov	2475	1993	RUS	438	
Josef Pribyl	2475	1993	CZE	439	
Yuri N Sakharov	2475	1993	RUS	440	
Mats Sjoberg	2475	1993	SWE	441	
Rodrigo Vasquez	2475	1993	CHI	442	
Aleksandr Veingold	2475	1993	EST	443	
Degurnay Aldama	2470	1993	CUB	444	
Ashot Anastasian	2470	1993	ARM	445	
Valeri Atlas	2470	1993	LIE	446	
Julio Bolbochan	2470	1993	ARG	447	
Vladimir Burmakin	2470	1993	RUS	448	
Nigel..R Davies	2470	1993	ENG	449	
Aleksander Delchev	2470	1993	BUL	450	
Larry M. Evans	2470	1993	USA	451	
Laszlo Hazai	2470	1993	HUN	452	
Jonny Hector	2470	1993	SWE	453	
James.C Howell	2470	1993	ENG	454	
Zlatko Ilincic	2470	1993	YUG	455	
Ventzislav Inkiov	2470	1993	BUL	456	
Andrei Istratescu	2470	1993	ROM	457	
Bozidar Ivanovic	2470	1993	YUG	458	
Igor..N Khmelnitsky	2470	1993	USA	459	
Douglas Root	2470	1993	USA	460	
Milko Popchev	2470	1993	BUL	461	
Eric Prie	2470	1993	FRA	462	
Mihail Saltaev	2470	1993	UZB	463	
Alexander Stripunsky	2470	1993	UKR	464	
Aleksander I Tuzovsky	2470	1993	RUS	465	
Jun.(GM) Xie	2470	1993	CHN	466	
Pablo Zarnicki	2470	1993	ARG	467	
Ralf Akesson	2465	1993	SWE	468	
Rogelio Barcenilla	2465	1993	PHI	469	
Dmitry Berkovich	2465	1993	UKR	470	
Stellan Brynell	2465	1993	SWE	471	
Evgeni Dragomarezkij	2465	1993	RUS	472	
Miroslav Filip	2465	1993	CZE	473	
Knut J Helmers	2465	1993	NOR	474	
