Name	Rating	Year	Rank	Fed
Raiashenok	2420	1978	USR	346	
Rantanen	2420	1978	FIN	347	
Rogulj	2420	1978	YUG	348	
B. Schmidt	2420	1978	FRG	349	
Shmit	2420	1978	USR	350	
V. Stoica	2420	1978	ROM	351	
J. Szmetan	2420	1978	ARG	352	
Veselovsky	2420	1978	USR	353	
T. Wibe	2420	1978	NOR	354	
D.A. Yanofsky	2420	1978	CAN	355	
V. Arapovic	2415	1978	YUG	356	
A. Balshan	2415	1978	ISR	357	
R. Bellin	2415	1978	ENG	358	
M. Bertok	2415	1978	YUG	359	
M. Bjelajac	2415	1978	YUG	360	
J. Boey	2415	1978	BEL	361	
Bohling	2415	1978	DDR	362	
S. Bojkovic	2415	1978	YUG	363	
O. Cuasnicu	2415	1978	ARG	364	
Dienavorian	2415	1978	URU	365	
J. Garcia-Padron	2415	1978	ESP	366	
Kr. Georgiev	2415	1978	BUL	367	
D. Ghizdavu	2415	1978	USA	368	
P. Hesse	2415	1978	DDR	369	
I.V. Ivanov	2415	1978	USR	370	
A. Kakageldyev	2415	1978	USR	371	
F. Kuijpers	2415	1978	NED	372	
Matera	2415	1978	USA	373	
Vl. Muratov	2415	1978	USR	374	
A. Petrosian	2415	1978	USR	375	
R. Rodriguez	2415	1978	PHI	376	
Sikora	2415	1978	CSR	377	
V. Tierentiev	2415	1978	USR	378	
A.A. Vitolinsh	2415	1978	USR	379	
H. Bohm	2410	1978	NED	380	
V. Bukal	2410	1978	YUG	381	
E.W. Formanek	2410	1978	USA	382	
M. Gerusel	2410	1978	FRG	383	
V. Gusev	2410	1978	USR	384	
J. Hase	2410	1978	ARG	385	
F. Hoelzl	2410	1978	AUT	386	
T. Horvath	2410	1978	HUN	387	
S. Joksic	2410	1978	YUG	388	
N. Kelecevic	2410	1978	YUG	389	
D. Keller	2410	1978	DDR	390	
N. Mishuchkov	2410	1978	USR	391	
Musil	2410	1978	YUG	392	
L. Piasetski	2410	1978	CAN	393	
J. Plaskett	2410	1978	ENG	394	
Radovici	2410	1978	ROM	395	
Gy. Rajna	2410	1978	HUN	396	
T. Rakic	2410	1978	YUG	397	
J. Speelman	2410	1978	ENG	398	
E. Ungureanu	2410	1978	ROM	399	
E. Varnusz	2410	1978	HUN	400	
V.V. Vorotnikov	2410	1978	USR	401	
H. Wirthensohn	2410	1978	SUI	402	
V. Ziangori	2410	1978	USR	403	
I. Asmundsson	2405	1978	ISL	404	
M. Bernat	2405	1978	ARG	405	
Y. Bernstein	2405	1978	ISR	406	
M. Bobotsov	2405	1978	BUL	407	
Cleghorn	2405	1978	USA	408	
Z. Doda	2405	1978	POL	409	
A. Donchenko	2405	1978	USR	410	
P. Donoso Velasco	2405	1978	CHI	411	
Dricta	2405	1978	CSR	412	
L.D. Evans	2405	1978	USA	413	
I. Fischer	2405	1978	ROM	414	
A. Godes	2405	1978	USR	415	
Gouveia	2405	1978	BRA	416	
R. Govedarica	2405	1978	YUG	417	
R. Grinberg	2405	1978	ARG	418	
R. Hartoch	2405	1978	NED	419	
H. Kestler	2405	1978	FRG	420	
Ab. Khassin	2405	1978	USR	421	
L. Lederman	2405	1978	ISR	422	
H. Lehmann	2405	1978	FRG	423	
W. Martz	2405	1978	USA	424	
G. Moehring	2405	1978	DDR	425	
F. Nagy	2405	1978	HUN	426	
Jos. Nun	2405	1978	CSR	427	
Mircea Pavlov	2405	1978	ROM	428	
E. Prandstetter	2405	1978	CSR	429	
Pritchett	2405	1978	SCO	430	
Radev	2405	1978	BUL	431	
U. Rath	2405	1978	DEN	432	
